sn_trip_id,wst_trip_name,msi_item_description,msi_item_number,wdd_shipped_quantity,ooh_order_number,ooh_header_id,ool_line_id,ship_confirm_flag
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103306,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103407,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103129,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103159,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103172,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103203,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103349,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103778,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103812,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103565,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103066,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103131,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103886,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103805,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103728,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103228,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103288,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1100930,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103746,N
1001,995016,REFRIGERADOR CABECERA CERVEZA FULLGLASSDOOR,34458,1,112090,408060,1103568,N
